ticker,status,order,aic,test_rmse,test_mae,test_mape,directional_accuracy,selection_method,model_path,error,error_type
NEE,success,"(0, 0, 0)",-672.5802781607873,,,,,,arimaxmodels\NEE_arimax.pkl,,
NEM,success,"(0, 0, 0)",-629.8598494268404,,,,,,arimaxmodels\NEM_arimax.pkl,,
NFLX,success,"(5, 0, 2)",-583.2975964863915,,,,,,arimaxmodels\NFLX_arimax.pkl,,
NKE,success,"(0, 0, 0)",-656.5729445530045,,,,,,arimaxmodels\NKE_arimax.pkl,,
NOC,success,"(5, 0, 2)",-726.13181086741,,,,,,arimaxmodels\NOC_arimax.pkl,,
NOW,success,"(0, 0, 0)",-603.3565170448803,,,,,,arimaxmodels\NOW_arimax.pkl,,
NRG,success,"(1, 0, 5)",-613.8466066300917,,,,,,arimaxmodels\NRG_arimax.pkl,,
NTRS,success,"(0, 0, 0)",-686.8730306118557,,,,,,arimaxmodels\NTRS_arimax.pkl,,
NUE,success,"(0, 0, 0)",-633.9362651800151,,,,,,arimaxmodels\NUE_arimax.pkl,,
NVDA,success,"(3, 0, 1)",-506.3834657002494,,,,,,arimaxmodels\NVDA_arimax.pkl,,
NWSA,success,"(0, 0, 0)",-647.7745340253053,,,,,,arimaxmodels\NWSA_arimax.pkl,,
NWS,success,"(0, 0, 0)",-644.6625353103385,,,,,,arimaxmodels\NWS_arimax.pkl,,
ODFL,success,"(2, 0, 1)",-605.2960128184066,,,,,,arimaxmodels\ODFL_arimax.pkl,,
ON,success,"(1, 0, 0)",-514.6554211982225,,,,,,arimaxmodels\ON_arimax.pkl,,
ORCL,success,"(0, 0, 2)",-688.0309864214208,,,,,,arimaxmodels\ORCL_arimax.pkl,,
ORLY,success,"(3, 0, 2)",-740.0001608633456,,,,,,arimaxmodels\ORLY_arimax.pkl,,
O,success,"(3, 0, 5)",-740.3620406647987,,,,,,arimaxmodels\O_arimax.pkl,,
PANW,success,"(2, 0, 6)",-584.0919052499211,,,,,,arimaxmodels\PANW_arimax.pkl,,
PARA,success,"(3, 0, 3)",-481.6488651873559,,,,,,arimaxmodels\PARA_arimax.pkl,,
PAYC,success,"(2, 0, 6)",-593.5605291773091,,,,,,arimaxmodels\PAYC_arimax.pkl,,
PAYX,success,"(3, 0, 5)",-695.3413855479627,,,,,,arimaxmodels\PAYX_arimax.pkl,,
PCAR,success,"(0, 0, 0)",-706.9783905130546,,,,,,arimaxmodels\PCAR_arimax.pkl,,
PEG,success,"(1, 0, 1)",-718.0334128804959,,,,,,arimaxmodels\PEG_arimax.pkl,,
PEP,success,"(6, 0, 3)",-772.6293594601616,,,,,,arimaxmodels\PEP_arimax.pkl,,
PFE,success,"(2, 0, 3)",-678.7159389112081,,,,,,arimaxmodels\PFE_arimax.pkl,,
PFG,success,"(2, 0, 1)",-666.3920915905126,,,,,,arimaxmodels\PFG_arimax.pkl,,
PGR,success,"(4, 0, 6)",-721.8113429952273,,,,,,arimaxmodels\PGR_arimax.pkl,,
PG,success,"(3, 0, 6)",-762.8456597602299,,,,,,arimaxmodels\PG_arimax.pkl,,
PH,success,"(3, 0, 3)",-682.0629588270939,,,,,,arimaxmodels\PH_arimax.pkl,,
PLD,success,"(0, 0, 2)",-653.7747953432925,,,,,,arimaxmodels\PLD_arimax.pkl,,
PLTR,success,"(6, 0, 4)",-424.29776053852055,,,,,,arimaxmodels\PLTR_arimax.pkl,,
PM,success,"(4, 0, 5)",-774.9186622634178,,,,,,arimaxmodels\PM_arimax.pkl,,
PNC,success,"(3, 0, 2)",-676.9913009416266,,,,,,arimaxmodels\PNC_arimax.pkl,,
PODD,success,"(1, 0, 5)",-565.8985101676885,,,,,,arimaxmodels\PODD_arimax.pkl,,
POOL,success,"(0, 0, 2)",-622.0232676669845,,,,,,arimaxmodels\POOL_arimax.pkl,,
PPG,success,"(4, 0, 3)",-694.0282705279078,,,,,,arimaxmodels\PPG_arimax.pkl,,
